Title,Genre,Language,Year,Actors,Director
Heavy Metal,"Animation, Adventure,  Fantasy",NAN,1981,"Richard Romanus, John Candy, Joe Flaherty, Don Francks","Directors:Gerald Potterton, John Bruno, John Halas, Julian Harris, Jimmy T. Murakami, Barrie Nelson, Paul Sabella, Jack Stokes, Pino Van Lamsweerde, Harold Whitaker"
The Inhabited Island,Action Fantasy Science Fiction Thriller,ru,2008,Vasily Stepanov Pyotr Fyodorov \u042e\u043b\u0438\u044f \u0421\u043d\u0438\u0433\u0438\u0440\u044c Fyodor Bondarchuk Sergey Garmash,Fyodor Bondarchuk
Of Horses and Men,Drama Romance Comedy,is,2013,Ingvar Eggert Sigur\u00f0sson Charlotte B\u00f8ving Steinn \u00c1rmann Magn\u00fasson Kristbj\u00f6rg Kjeld Helgi Bj\u00f6rnsson,Benedikt Erlingsson
Hav Plenty,Action Comedy Romance Science Fiction Thriller,en,1997,Christopher Scott Cherot Chenoa Maxwell Tammi Katherine Jones Robinne Lee Reginald James,Christopher Scott Cherot
A Good Day to Die Hard,Action Thriller,en,2013,Bruce Willis Jai Courtney Sebastian Koch Mary Elizabeth Winstead \u042e\u043b\u0438\u044f \u0421\u043d\u0438\u0433\u0438\u0440\u044c,John Moore
The True Story of Puss 'n Boots,Family Adventure Animation,fr,2009,J\u00e9r\u00f4me Deschamps Yolande Moreau Louise Wallon Arthur Deschamps Jean-Claude Bolle-Reddat,J\u00e9r\u00f4me Deschamps
Solaris,Drama Science Fiction Adventure Mystery,ru,1972,Donatas Banionis Natalya Bondarchuk J\u00fcri J\u00e4rvet Anatoliy Solonitsyn Nikolay Grinko,Andrei Tarkovsky
Das Boot,Action Drama History War Adventure,de,1981,J\u00fcrgen Prochnow Herbert Gr\u00f6nemeyer Klaus Wennemann Hubertus Bengsch Martin Semmelrogge,Wolfgang Petersen
Amores perros,Drama Thriller,es,2000,Gael Garc\u00eda Bernal Vanessa Bauche Goya Toledo Alvaro Guerrero Emilio Echevarr\u00eda,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
The Revenant,Western Drama Adventure Thriller,en,2015,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
Spawn,Action Adventure Fantasy Horror Science Fiction,en,1997,Michael Jai White Martin Sheen John Leguizamo Theresa Randle Nicol Williamson,Mark A.Z. Dipp\u00e9
Treasure Planet,Adventure Animation Family Fantasy Science Fiction,en,2002,Joseph Gordon-Levitt Brian Murray David Hyde Pierce Emma Thompson Michael Wincott,Ron Clements
9,Action Adventure Animation Science Fiction Thriller,en,2009,Christopher Plummer Martin Landau John C. Reilly Crispin Glover Jennifer Connelly,Shane Acker
Spider-Man: Into the Spider-Verse,"Animation, Action,  Adventure",NAN,2018,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman"
Buried,Drama Thriller Mystery,en,2010,Ryan Reynolds Jos\u00e9 Luis Garc\u00eda P\u00e9rez Robert Paterson Stephen Tobolowsky Samantha Mathis,Rodrigo Cort\u00e9s
The Triplets of Belleville,Adventure Animation Comedy Drama,fr,2003,B\u00e9atrice Bonifassi Lina Boudreau Mich\u00e8le Caucheteux Jean-Claude Donda Mari-Lou Gauthier,Sylvain Chomet
